"","coefficients","replicate","pval","treatment_site"
"treatment20C...1",-0.383280015047015,1,8.47287040364785e-54,"treatment20C"
"siteDB...2",-0.486076699954376,1,1.29556248467377e-94,"siteDB"
"sitePW...3",-0.340850562597896,1,1.87341981362816e-48,"sitePW"
"treatment20C:siteDB...4",0.165279586495579,1,1.53755045029659e-06,"treatment20C:siteDB"
"treatment20C:sitePW...5",-0.0866004164492921,1,0.0122577284520564,"treatment20C:sitePW"
"treatment20C...6",-0.399743004120103,2,3.68236645935558e-61,"treatment20C"
"siteDB...7",-0.659598206989854,2,1.76941608007373e-162,"siteDB"
"sitePW...8",-0.550545554090046,2,9.36217254059772e-116,"sitePW"
"treatment20C:siteDB...9",0.23035093721449,2,3.34595683957165e-11,"treatment20C:siteDB"
"treatment20C:sitePW...10",-0.00153772243262436,2,0.964798620484909,"treatment20C:sitePW"
"treatment20C...11",-0.605731620345017,3,1.32833061357574e-134,"treatment20C"
"siteDB...12",-0.657075190634921,3,9.10951080997056e-183,"siteDB"
"sitePW...13",-0.625492073618015,3,7.04645800770501e-163,"sitePW"
"treatment20C:siteDB...14",0.219995556823433,3,4.7763595045481e-10,"treatment20C:siteDB"
"treatment20C:sitePW...15",0.238702683238564,3,6.51552352277324e-12,"treatment20C:sitePW"
"treatment20C...16",-0.264235951639125,4,2.01136309429386e-26,"treatment20C"
"siteDB...17",-0.510305936407739,4,2.57773625664137e-99,"siteDB"
"sitePW...18",-0.266049235257276,4,1.00892338741775e-29,"sitePW"
"treatment20C:siteDB...19",-0.0767260570041605,4,0.0317775299631062,"treatment20C:siteDB"
"treatment20C:sitePW...20",-0.201858039767407,4,4.27818447457134e-09,"treatment20C:sitePW"
"treatment20C...21",-0.478494599220073,5,4.22631470439652e-82,"treatment20C"
"siteDB...22",-0.614640071387495,5,1.66204575270238e-140,"siteDB"
"sitePW...23",-0.519700301667583,5,1.19873861303826e-101,"sitePW"
"treatment20C:siteDB...24",0.259924903131162,5,1.71445076665552e-13,"treatment20C:siteDB"
"treatment20C:sitePW...25",0.202383119954439,5,5.6996687793445e-09,"treatment20C:sitePW"
"treatment20C...26",-0.269297999643224,6,1.46352743934277e-28,"treatment20C"
"siteDB...27",-0.547881224403276,6,1.26360655074492e-116,"siteDB"
"sitePW...28",-0.466641583916799,6,7.08715765417416e-85,"sitePW"
"treatment20C:siteDB...29",0.0227376746400835,6,0.512908956216526,"treatment20C:siteDB"
"treatment20C:sitePW...30",-0.0394898402079017,6,0.247737149725281,"treatment20C:sitePW"
"treatment20C...31",-0.197750616367096,7,1.32904449240652e-15,"treatment20C"
"siteDB...32",-0.55310126033971,7,2.99413195822953e-111,"siteDB"
"sitePW...33",-0.32603869731189,7,9.65675894708897e-41,"sitePW"
"treatment20C:siteDB...34",-0.0616819821998669,7,0.0829867733770073,"treatment20C:siteDB"
"treatment20C:sitePW...35",-0.246561713816,7,1.26536607984833e-12,"treatment20C:sitePW"
"treatment20C...36",-0.460018866911823,8,4.29170790434129e-82,"treatment20C"
"siteDB...37",-0.63508819377858,8,6.86148796950629e-161,"siteDB"
"sitePW...38",-0.513306629931472,8,1.28665420338547e-109,"sitePW"
"treatment20C:siteDB...39",0.262814283148087,8,3.26550291293338e-14,"treatment20C:siteDB"
"treatment20C:sitePW...40",0.0110901257268293,8,0.744290723700804,"treatment20C:sitePW"
"treatment20C...41",-0.466329275009804,9,2.65070900243699e-88,"treatment20C"
"siteDB...42",-0.819174113371308,9,8.4506275029483e-246,"siteDB"
"sitePW...43",-0.506508582037948,9,9.98038488382365e-109,"sitePW"
"treatment20C:siteDB...44",0.262259681356948,9,9.70316463325566e-14,"treatment20C:siteDB"
"treatment20C:sitePW...45",0.00591179116407113,9,0.860251836634362,"treatment20C:sitePW"
"treatment20C...46",-0.337164230683564,10,3.14042384375779e-47,"treatment20C"
"siteDB...47",-0.578397803872698,10,1.75969975046294e-135,"siteDB"
"sitePW...48",-0.559648908700112,10,1.16406250890144e-119,"sitePW"
"treatment20C:siteDB...49",-0.0210654948873835,10,0.540770045117871,"treatment20C:siteDB"
